id;title;url;cover;rate
26628357;一个叫欧维的男人决定去死;https://movie.douban.com/subject/26628357/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2269772365.jpg;8.7
3868141;BJ单身日记3：BJ的孩子;https://movie.douban.com/subject/3868141/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2329060490.jpg;8.0
26752337;春梦;https://movie.douban.com/subject/26752337/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2382802813.jpg;7.4
11524967;海底总动员2：多莉去哪儿;https://movie.douban.com/subject/11524967/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2356015154.jpg;7.4
26410594;隧道;https://movie.douban.com/subject/26410594/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2358109461.jpg;7.6
26581083;毛骨悚然;https://movie.douban.com/subject/26581083/;https://img5.doubanio.com/view/movie_poster_cover/lpst/public/p2326789036.jpg;6.0
26313740;玩命直播;https://movie.douban.com/subject/26313740/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2361799971.jpg;6.7
26266892;红鳉鱼;https://movie.douban.com/subject/26266892/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2315734512.jpg;9.1
26684564;关灯后;https://movie.douban.com/subject/26684564/;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2327225597.jpg;6.5
7065238;魔发精灵;https://movie.douban.com/subject/7065238/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2392222202.jpg;7.6
26592040;瑞普·凡·温克尔的新娘;https://movie.douban.com/subject/26592040/;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2286097607.jpg;7.4
26331185;离别是美丽的;https://movie.douban.com/subject/26331185/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2363394711.jpg;7.4
26290642;致青春·原来你还在这里;https://movie.douban.com/subject/26290642/;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2364795527.jpg;4.0
26351532;暗色天堂;https://movie.douban.com/subject/26351532/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2282868662.jpg;6.2
25945350;我的战争;https://movie.douban.com/subject/25945350/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2376859070.jpg;4.9
26351526;幸运是我;https://movie.douban.com/subject/26351526/;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2373839669.jpg;7.8
26301582;微微一笑很倾城;https://movie.douban.com/subject/26301582/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2358355793.jpg;5.2
26614893;完美陌生人;https://movie.douban.com/subject/26614893/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2365143411.jpg;8.6
25862560;真相背后;https://movie.douban.com/subject/25862560/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2392537011.jpg;7.0
26307755;季春奶奶;https://movie.douban.com/subject/26307755/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2332222074.jpg;8.3
26680247;最爽的一天;https://movie.douban.com/subject/26680247/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2315324124.jpg;7.7
26335580;类人猿行动;https://movie.douban.com/subject/26335580/;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2377577969.jpg;7.6
